Type,maximum_budget,maximum_budget_unit,case_study,,,,
,563.2882318,MtCO2e,ZA_AUT,,,,
,675.9458782,MtCO2e,ZA_AUT,,,,
,788.6035245,MtCO2e,ZA_AUT,,,,
,901.2611709,MtCO2e,ZA_AUT,,,,
,1013.918817,MtCO2e,ZA_AUT,,,,
,6346.829055,MtCO2e,KR_AUT,,,,
,5440.13919,MtCO2e,KR_AUT,,,,
,4533.449325,MtCO2e,KR_AUT,,,,
,3626.75946,MtCO2e,KR_AUT,,,,
,2720.069595,MtCO2e,KR_AUT,,,,
,1813.37973,MtCO2e,KR_AUT,,,,
,906.689865,MtCO2e,KR_AUT,,,,
,0,MtCO2e,KR_AUT,,,,
,2136.491087,MtCO2e,KR_AUT,,,,
,4272.982173,MtCO2e,KR_AUT,,,,
,6409.47326,MtCO2e,KR_AUT,,,,
,0,MtCO2e,EG_AUT,,,,
,79.3118691,MtCO2e,EG_AUT,,,,
,158.6237382,MtCO2e,EG_AUT,,,,
,237.9356073,MtCO2e,EG_AUT,,,,
,317.2474764,MtCO2e,EG_AUT,,,,
,396.5593455,MtCO2e,EG_AUT,,,,
,475.8712146,MtCO2e,EG_AUT,,,,
,555.1830837,MtCO2e,EG_AUT,,,,
,634.4949528,MtCO2e,EG_AUT,,,,
,713.8068219,MtCO2e,EG_AUT,,,,
,769.587732,MtCO2e,EG_AUT,,,,
,1732.495951,MtCO2e,NG_AUT,,,,
,866.2479753,MtCO2e,NG_AUT,,,,
,0,MtCO2e,NG_AUT,,,,
,266.7399683,MtCO2e,NG_AUT,,,,
,533.4799366,MtCO2e,NG_AUT,,,,
,800.2199049,MtCO2e,NG_AUT,,,,
,1066.959873,MtCO2e,NG_AUT,,,,
,1333.699842,MtCO2e,NG_AUT,,,,
,1600.43981,MtCO2e,NG_AUT,,,,
,1867.179778,MtCO2e,NG_AUT,,,,
,2133.919746,MtCO2e,NG_AUT,,,,
,615.998232,MtCO2e,BR_AUT,,,,
,0,MtCO2e,BR_AUT,,,,
,73.28906367,MtCO2e,BR_AUT,,,,
,146.5781273,MtCO2e,BR_AUT,,,,
