Charging_profile,Unit
0.098720796,GWh/GWh fleet
0.098751299,GWh/GWh fleet
0.097927736,GWh/GWh fleet
0.096036591,GWh/GWh fleet
0.093032111,GWh/GWh fleet
0.093748916,GWh/GWh fleet
0.09210179,GWh/GWh fleet
0.089066808,GWh/GWh fleet
0.083500133,GWh/GWh fleet
0.07941282,GWh/GWh fleet
0.073297103,GWh/GWh fleet
0.073083586,GWh/GWh fleet
0.071680479,GWh/GWh fleet
0.070429884,GWh/GWh fleet
0.070673902,GWh/GWh fleet
0.073464866,GWh/GWh fleet
0.079214555,GWh/GWh fleet
0.084201686,GWh/GWh fleet
0.091995032,GWh/GWh fleet
0.095579056,GWh/GWh fleet
0.098064996,GWh/GWh fleet
0.098492029,GWh/GWh fleet
0.097653215,GWh/GWh fleet
0.09916308,GWh/GWh fleet
0.099468103,GWh/GWh fleet
0.099483354,GWh/GWh fleet
0.099437601,GWh/GWh fleet
0.097546456,GWh/GWh fleet
0.094374214,GWh/GWh fleet
0.09470974,GWh/GWh fleet
0.093123618,GWh/GWh fleet
0.089966627,GWh/GWh fleet
0.084811733,GWh/GWh fleet
0.08032789,GWh/GWh fleet
0.075417015,GWh/GWh fleet
0.073724135,GWh/GWh fleet
0.07207701,GWh/GWh fleet
0.071314451,GWh/GWh fleet
0.071283949,GWh/GWh fleet
0.073891898,GWh/GWh fleet
0.079367067,GWh/GWh fleet
0.084079677,GWh/GWh fleet
0.092086539,GWh/GWh fleet
0.095975586,GWh/GWh fleet
0.098675043,GWh/GWh fleet
0.098705545,GWh/GWh fleet
0.097531205,GWh/GWh fleet
0.099025819,GWh/GWh fleet
0.099391847,GWh/GWh fleet
0.099529108,GWh/GWh fleet
0.099010568,GWh/GWh fleet
0.096860154,GWh/GWh fleet
0.094877502,GWh/GWh fleet
0.094892754,GWh/GWh fleet
0.093245628,GWh/GWh fleet
0.090607176,GWh/GWh fleet
0.085437031,GWh/GWh fleet
0.080602411,GWh/GWh fleet
0.076149071,GWh/GWh fleet
0.074059661,GWh/GWh fleet
0.072290526,GWh/GWh fleet
0.071253447,GWh/GWh fleet
0.071268698,GWh/GWh fleet
0.074074912,GWh/GWh fleet
0.079428071,GWh/GWh fleet
0.084582965,GWh/GWh fleet
0.092071288,GWh/GWh fleet
0.095716317,GWh/GWh fleet
0.097256684,GWh/GWh fleet
0.097393945,GWh/GWh fleet
0.096234856,GWh/GWh fleet
